Date,Day,Shift,Driver,Gross Rides (Br),Fuel Used (L),Fuel Cost (Br),Miscellaneous (Br),Rental Share (Br),Maintenance Reserve (Br),Daily True Profit (Br),Week #,Cumulative Profit (Br),Notes
2026-08-17,Mon,AM,Friend,,,,,,,,1,,,
2026-08-17,Mon,PM,You,,,,,,,,1,,,
2026-08-18,Tue,AM,Friend,,,,,,,,1,,,
2026-08-18,Tue,PM,You,,,,,,,,1,,,
2026-08-19,Wed,AM,Friend,,,,,,,,1,,,
2026-08-19,Wed,PM,You,,,,,,,,1,,,
2026-08-20,Thu,AM,Friend,,,,,,,,1,,,
2026-08-20,Thu,PM,You,,,,,,,,1,,,
2026-08-21,Fri,AM,Friend,,,,,,,,1,,,
2026-08-21,Fri,PM,You,,,,,,,,1,,,
2026-08-22,Sat,AM,Friend,,,,,,,,1,,,
2026-08-22,Sat,PM,You,,,,,,,,1,,,
2026-08-23,Sun,AM,Friend,,,,,,,,1,,,
2026-08-23,Sun,PM,You,,,,,,,,1,,,
2026-08-24,Mon,AM,Friend,,,,,,,,2,,,
2026-08-24,Mon,PM,You,,,,,,,,2,,,
2026-08-25,Tue,AM,Friend,,,,,,,,2,,,
2026-08-25,Tue,PM,You,,,,,,,,2,,,
2026-08-26,Wed,AM,Friend,,,,,,,,2,,,
2026-08-26,Wed,PM,You,,,,,,,,2,,,
2026-08-27,Thu,AM,Friend,,,,,,,,2,,,
2026-08-27,Thu,PM,You,,,,,,,,2,,,
2026-08-28,Fri,AM,Friend,,,,,,,,2,,,
2026-08-28,Fri,PM,You,,,,,,,,2,,,
2026-08-29,Sat,AM,Friend,,,,,,,,2,,,
2026-08-29,Sat,PM,You,,,,,,,,2,,,
2026-08-30,Sun,AM,Friend,,,,,,,,2,,,
2026-08-30,Sun,PM,You,,,,,,,,2,,,
