Week,Start Date,End Date,Gross Rides (Br),Fuel Cost (Br),Miscellaneous (Br),Rental (Br),Maintenance Reserve (Br),True Profit (Br),Model Gross Target (Br),Model True Profit Target (Br),Gross Variance (Br),Profit Variance (Br),Cumulative True Profit (Br),Notes
1,2026-08-17,2026-08-23,,,,,,,,41872,15622,,,,
2,2026-08-24,2026-08-30,,,,,,,,41872,15622,,,,
3,2026-08-31,2026-09-06,,,,,,,,41872,15622,,,,
4,2026-09-07,2026-09-13,,,,,,,,41872,15622,,,,
5,2026-09-14,2026-09-20,,,,,,,,41872,15622,,,,
6,2026-09-21,2026-09-27,,,,,,,,41872,15622,,,,
7,2026-09-28,2026-10-04,,,,,,,,41872,15622,,,,
8,2026-10-05,2026-10-11,,,,,,,,41872,15622,,,,
9,2026-10-12,2026-10-18,,,,,,,,41872,15622,,,,
10,2026-10-19,2026-10-25,,,,,,,,41872,15622,,,,
11,2026-10-26,2026-11-01,,,,,,,,41872,15622,,,,
12,2026-11-02,2026-11-08,,,,,,,,41872,15622,,,,
13,2026-11-09,2026-11-15,,,,,,,,41872,15622,,,,
